surname;amount
Aa;242
Aabel;254
Aaberg;364
Aaby;274
Aabø;235
Aadland;526
Aae;205
Aaen;.
Aagaard;342
Aagesen;274
Aakervik;201
Aakre;889
Aakvik;335
Aaland;327
Aalberg;505
Aalvik;234
Aam;250
Aamodt;1981
Aamot;355
Aandahl;202
Aandal;245
Aanensen;492
Aanerud;254
Aanes;412
Aanestad;424
Aanonsen;599
Aanstad;239
Aardal;508
Aarflot;246
Aarhus;449
Aarland;206
Aarnes;631
Aarrestad;293
Aarsand;217
Aarseth;934
Aarskog;363
Aarsland;356
Aarstad;602
Aarum;284
Aarvik;555
Aarø;386
Aas;5709
Aasberg;259
Aasbø;500
Aase;2508
Aasebø;392
Aasen;4416
Aaserud;649
Aaseth;219
Aasgaard;474
Aasheim;1610
Aasland;1026
Aaslund;306
Aass;528
Abbas;732
Abdalla;242
Abdallah;258
Abdi;2108
Abdirahman;276
Abdo;207
Abdulla;211
Abdullah;803
Abdullahi;877
Abdulle;369
Abelsen;661
Abraha;324
Abraham;451
Abrahamsen;3832
Abukar;330
Adam;634
Adan;482
Aden;394
Adolfsen;882
Afzal;371
Aga;753
Aglen;268
Ahmad;2187
Ahmadi;902
Ahmadzai;272
Ahmed;5965
Akbari;270
Aker;350
Akhtar;940
Akram;373
Aksdal;315
Akselsen;929
Aksnes;962
Alahmad;366
Alali;340
Albertsen;719
Albrigtsen;714
Aleksandersen;448
Alexandersen;544
Alfheim;339
Alfredsen;429
Alfsen;400
Algrøy;307
Alhasan;234
Alhussein;211
Ali;7254
Allum;209
Alm;545
Almaas;243
Alme;651
Almli;332
Almås;1032
Alnes;629
Alnæs;234
Alsaker;558
Alsos;.
Alstad;1029
Alsvik;266
Alver;245
Alvestad;900
Alvheim;311
Alvær;217
Amble;234
Amdahl;217
Amdal;792
Amdam;214
Amin;541
Amini;241
Amiri;381
Amlie;211
Amundsen;7079
Anda;410
Andersen;35277
Anderson;691
Anderssen;803
Andersson;2492
Andorsen;204
Andreassen;11562
Andresen;6039
Andvik;244
Anfinsen;317
Angell;761
Angelsen;454
Angeltveit;349
Angvik;247
Anthonsen;331
Anti;281
Antonsen;4988
Anwar;422
Apeland;532
Araya;428
Arctander;245
Arif;269
Arneberg;378
Arnesen;5038
Arnestad;329
Arnevik;216
Arntsen;1957
Arntzen;1996
Arnøy;381
Aronsen;1239
Arshad;307
Arslan;223
Arvesen;483
Asbjørnsen;868
Asghar;264
Asheim;434
Ashraf;420
Ask;1324
Aske;520
Askeland;1200
Askevold;204
Askildsen;261
Askim;302
Askvik;310
Aslaksen;1001
Aslam;434
Asp;290
Aspaas;304
Aspelund;501
Aspen;475
Aspenes;304
Asphaug;373
Astrup;349
Auestad;587
Augestad;332
Aukland;257
Aulie;374
Aunan;324
Aune;4170
Aurdal;270
Aure;455
Aurstad;256
Ausland;388
Austad;1160
Austbø;354
Austnes;306
Austrheim;432
Awad;203
Axelsen;415
Aziz;566
Azizi;293
Baardsen;464
Bach;500
Backe;278
Bakk;328
Bakka;473
Bakkan;211
Bakke;6764
Bakkehaug;272
Bakkejord;237
Bakkeli;204
Bakkelund;213
Bakken;7615
Bakker;307
Bakkerud;286
Bakketun;229
Bakstad;201
Ballestad;246
Balstad;276
Baltzersen;315
Bang;1286
Baran;209
Barka;244
Barmen;217
Barstad;1098
Barth;339
Bartnes;260
Bashir;465
Bastiansen;266
Bauer;288
Bauge;605
Baumann;300
Baustad;221
Bay;234
Bech;665
Beck;778
Becker;303
Begum;676
Bekkelund;739
Bekken;1082
Bekkevold;1191
Bell;299
Belsvik;258
Bendiksen;1526
Bendixen;318
Bengtsson;228
